src_team,src_image,win,team,slot_index,hero,kills,assists,deaths,damage,heal,mitig
blue,blue_2025-11-26_01-32-51.png,1,blue,3,ana,0,6,3,835,4893,656
blue,blue_2025-11-26_01-32-51.png,1,blue,4,kiriko,11,8,3,4277,4270,0
blue,blue_2025-11-26_01-32-51.png,0,red,0,zarya,11,1,5,5634,0,2944
blue,blue_2025-11-26_01-32-51.png,0,red,1,ashe,8,5,4,4479,0,0
blue,blue_2025-11-26_01-32-51.png,0,red,2,cassidy,7,2,4,4757,0,173
blue,blue_2025-11-26_01-32-51.png,0,red,3,ana,3,9,2,1853,4898,785
blue,blue_2025-11-26_01-32-51.png,0,red,4,wuyang,0,3,5,1365,5476,450
blue,blue_2025-11-26_01-33-01.png,1,blue,0,dva,24,0,3,10886,710,9689
blue,blue_2025-11-26_01-33-01.png,1,blue,1,widowmaker,13,4,5,5574,0,0
blue,blue_2025-11-26_01-33-01.png,1,blue,2,bastion,7,3,6,10688,0,1276
blue,blue_2025-11-26_01-33-01.png,1,blue,3,baptiste,16,16,5,3184,11936,1123
blue,blue_2025-11-26_01-33-01.png,1,blue,4,ana,0,15,3,2522,8537,310
blue,blue_2025-11-26_01-33-01.png,0,red,0,doomfist,13,3,14,8864,1067,6232
blue,blue_2025-11-26_01-33-01.png,0,red,1,widowmaker,5,6,6,7404,0,0
blue,blue_2025-11-26_01-33-01.png,0,red,2,symmetra,12,0,8,8987,177,1840
blue,blue_2025-11-26_01-33-01.png,0,red,3,ana,10,9,6,6804,4296,663
blue,blue_2025-11-26_01-33-01.png,0,red,4,lifeweaver,7,6,3,4440,7189,304
blue,blue_2025-11-26_02-26-39.png,1,blue,0,winston,32,4,12,18977,853,20224
blue,blue_2025-11-26_02-26-39.png,1,blue,1,ashe,23,0,0,16545,0,0
blue,blue_2025-11-26_02-26-39.png,1,blue,2,sojourn,28,1,11,18633,0,40
blue,blue_2025-11-26_02-26-39.png,1,blue,3,ana,16,25,7,9210,17359,1914
blue,blue_2025-11-26_02-26-39.png,1,blue,4,juno,16,22,7,2956,21930,0
blue,blue_2025-11-26_02-26-39.png,0,red,0,mauga,33,14,14,20840,3041,8262
blue,blue_2025-11-26_02-26-39.png,0,red,1,ashe,21,2,13,11307,1401,290
blue,blue_2025-11-26_02-26-39.png,0,red,2,sojourn,32,0,7,20804,0,0
blue,blue_2025-11-26_02-26-39.png,0,red,3,kiriko,8,20,5,3241,16609,0
blue,blue_2025-11-26_02-26-39.png,0,red,4,ana,22,23,6,7448,17537,1374
blue,blue_2025-11-26_02-44-21.png,1,blue,0,winston,25,2,7,10685,362,7959
blue,blue_2025-11-26_02-44-21.png,1,blue,1,ashe,24,5,8,11485,0,0
blue,blue_2025-11-26_02-44-21.png,1,blue,2,sombra,23,7,7,7347,332,0
blue,blue_2025-11-26_02-44-21.png,1,blue,3,kiriko,18,14,8,6200,9314,1657
blue,blue_2025-11-26_02-44-21.png,1,blue,4,ana,18,19,8,4788,9719,562
blue,blue_2025-11-26_02-44-21.png,0,red,0,hazard,20,2,8,12718,189,5686
blue,blue_2025-11-26_02-44-21.png,0,red,1,cassidy,15,1,11,8411,0,176
blue,blue_2025-11-26_02-44-21.png,0,red,2,genji,21,1,12,7306,245,1355
blue,blue_2025-11-26_02-44-21.png,0,red,3,wuyang,11,5,0,4820,10614,407
blue,blue_2025-11-26_02-44-21.png,0,red,4,ana,7,9,8,4269,9492,949
blue,blue_2025-11-26_02-48-19.png,1,blue,0,dva,16,5,8,9440,0,6921
blue,blue_2025-11-26_02-48-19.png,1,blue,1,ashe,24,6,6,9170,54,0
blue,blue_2025-11-26_02-48-19.png,1,blue,2,genji,28,1,4,10236,226,1925
blue,blue_2025-11-26_02-48-19.png,1,blue,3,wuyang,15,4,6,4095,5358,444
blue,blue_2025-11-26_02-48-19.png,1,blue,4,kiriko,15,14,7,3262,6443,0
blue,blue_2025-11-26_02-48-19.png,0,red,0,winston,21,2,7,9193,4277,13575
blue,blue_2025-11-26_02-48-19.png,0,red,1,mei,12,4,10,5254,1661,4049
blue,blue_2025-11-26_02-48-19.png,0,red,2,reaper,12,0,11,6731,1601,0
blue,blue_2025-11-26_02-48-19.png,0,red,3,ana,7,6,5,3625,6238,673
blue,blue_2025-11-26_02-48-19.png,0,red,4,kiriko,11,16,9,3611,5986,464
blue,blue_2025-11-26_02-48-28.png,1,blue,0,winston,26,3,4,10431,1244,15783
blue,blue_2025-11-26_02-48-28.png,1,blue,1,sojourn,19,0,8,10134,0,0
blue,blue_2025-11-26_02-48-28.png,1,blue,2,tracer,26,0,4,6760,0,0
blue,blue_2025-11-26_02-48-28.png,1,blue,3,ana,14,14,8,4573,6406,502
blue,blue_2025-11-26_02-48-28.png,1,blue,4,wuyang,18,6,6,5698,8603,516
blue,blue_2025-11-26_02-48-28.png,0,red,0,hazard,18,1,7,10974,0,4874
blue,blue_2025-11-26_02-48-28.png,0,red,1,reaper,12,0,11,5644,984,0
blue,blue_2025-11-26_02-48-28.png,0,red,2,hanzo,10,0,11,6757,75,137
blue,blue_2025-11-26_02-48-28.png,0,red,3,ana,10,13,7,4732,8584,1007
blue,blue_2025-11-26_02-48-28.png,0,red,4,wuyang,7,1,10,5081,8987,324
blue,blue_2025-11-26_02-48-43.png,1,blue,0,sigma,30,0,5,14623,0,26069
blue,blue_2025-11-26_02-48-43.png,1,blue,1,ashe,29,6,8,11969,0,0
blue,blue_2025-11-26_02-48-43.png,1,blue,2,genji,32,0,0,12692,0,1464
blue,blue_2025-11-26_02-48-43.png,1,blue,3,ana,16,24,6,5632,14272,620
blue,blue_2025-11-26_02-48-43.png,1,blue,4,zenyatta,30,37,8,9118,9924,0
